Goal ,Game Number,Game Opponent,Player Name,Scored Goal,Shots On Goal,Rebound Goal,Assist,Pass-To-Assist,Insert/Penalty Corner,Foul Drawn,Touches
1,1,Iowa,Ashley Sessa,0,0,0,0,1,0,0,1
1,1,Iowa,Meredith Sholder,0,0,0,1,0,0,0,1
1,1,Iowa,Lisa Slinkert,1,1,0,0,0,0,0,1
2,1,Iowa,Ashley Sessa,0,0,0,0,0,0,0,1
2,1,Iowa,Madison Orobono,0,0,0,0,0,1,0,1
2,1,Iowa,Sietske Bruning,1,1,1,0,0,0,0,2
2,1,Iowa,Erin Matson,0,1,0,0,0,0,0,1
3,1,Iowa,Ryleigh Heck,0,0,0,0,0,0,0,1
3,1,Iowa,Ashley Sessa,0,1,0,0,0,0,0,1
3,1,Iowa,Erin Matson,1,1,1,0,0,0,0,1
4,2,Princeton,Erin Matson,0,0,0,0,0,0,0,1
4,2,Princeton,Meredith Sholder,0,0,0,0,0,0,0,1
4,2,Princeton,Ryleigh Heck,1,1,0,0,0,0,0,1
5,2,Princeton,Lisa Slinkert,0,0,0,0,0,0,0,1
5,2,Princeton,Kennedy Cliggett,0,0,0,0,0,0,0,1
5,2,Princeton,Erin Matson,1,1,0,0,0,0,0,1
6,2,Princeton,Erin Matson,0,0,0,1,0,0,0,2
6,2,Princeton,Kennedy Cliggett,0,0,0,0,1,0,0,1
6,2,Princeton,Lisa Slinkert,1,1,0,0,0,0,0,1
7,2,Princeton,Ashley Sessa,0,0,0,1,0,1,0,1
7,2,Princeton,Romea Riccardo,0,0,0,1,0,0,0,1
7,2,Princeton,Erin Matson,1,1,0,0,0,0,0,1
8,3,UPenn,Ryleigh Heck,1,1,0,0,0,0,0,1
8,3,UPenn,Sietske Bruning,0,0,0,1,0,0,0,1
9,3,UPenn,Erin Matson,1,1,0,0,0,0,0,1
10,3,UPenn,Ashley Sessa,0,1,0,0,0,0,0,1
10,3,UPenn,Lisa Slinkert,0,0,0,1,0,0,0,1
10,3,UPenn,Kiersten Thomassey,1,1,0,0,0,0,0,1
11,3,UPenn,Lisa Slinkert,0,0,0,0,0,1,0,1
11,3,UPenn,Sietske Bruning,0,0,0,1,0,0,0,1
11,3,UPenn,Meredith Sholder,1,1,0,0,0,0,0,1
11,3,UPenn,Madison Orobono,0,0,0,0,1,0,0,1
19,4,Stanford,Ryleigh Heck,1,1,0,0,0,0,0,1
19,4,Stanford,Erin Matson,0,0,0,1,0,0,0,1
20,4,Stanford,Jasmina Smolenaars,0,0,0,0,1,0,0,1
20,4,Stanford,Paityn Wirth,0,0,0,1,0,0,0,1
20,4,Stanford,Katie Dixon,1,1,0,0,0,0,0,1
21,4,Stanford,Ashley Sessa,0,0,0,0,0,1,0,1
21,4,Stanford,Madison Orobono,0,0,0,0,0,0,0,1
21,4,Stanford,Erin Matson,0,1,0,0,0,0,0,1
21,4,Stanford,Steph Weber,0,1,0,0,0,0,0,1
21,4,Stanford,Kennedy Cliggett,1,1,1,0,0,0,0,1
22,4,Stanford,Ashley Sessa,1,1,1,0,0,1,0,2
22,4,Stanford,Romea Riccardo,0,0,0,0,0,0,0,1
22,4,Stanford,Sietske Bruning,0,1,0,0,0,0,0,1
22,4,Stanford,Paityn Wirth,0,1,0,0,0,0,0,1
23,4,Stanford,Paityn Wirth,0,0,0,0,0,0,1,1
23,4,Stanford,Lisa Slinkert,1,1,0,0,0,0,0,1
24,4,Stanford,Lisa Slinkert,0,0,0,0,0,0,0,1
24,4,Stanford,Katie Dixon,0,0,0,0,0,0,0,1
24,4,Stanford,Ryleigh Heck,1,1,1,0,0,0,0,1
25,5,Louisville,Ashley Sessa,1,1,0,0,0,0,0,1
26,5,Louisville,Kennedy Cliggett,0,0,0,0,0,0,0,1
26,5,Louisville,Erin Matson,0,1,0,0,0,0,0,1
26,5,Louisville,Lisa Slinkert,1,1,1,0,0,0,0,1
27,5,Louisville,Erin Matson,0,0,0,0,0,0,0,1
27,5,Louisville,Paityn Wirth,1,1,0,0,0,0,0,1
28,6,Wake Forest,Jasmina Smolenaars,0,0,0,0,0,0,0,1
28,6,Wake Forest,Erin Matson,1,1,0,0,0,0,0,1
29,6,Wake Forest,Meredith Sholder,0,0,0,0,1,0,0,1
29,6,Wake Forest,Lisa Slinkert,0,0,0,1,0,0,0,1
29,6,Wake Forest,Erin Matson,1,1,0,0,0,0,0,1
30,7,Liberty,Ashley Sessa,0,0,0,0,0,0,1,1
30,7,Liberty,Erin Matson,1,1,0,0,0,0,0,1
31,7,Liberty,Lisa Slinkert,1,1,0,0,0,0,0,2
31,7,Liberty,Ryleigh Heck,0,0,0,1,0,0,0,1
32,7,Liberty,Erin Matson,1,1,0,0,0,0,0,1
33,7,Liberty,Kelly Smith,0,0,0,0,1,0,0,1
33,7,Liberty,Erin Matson,0,0,0,1,0,0,0,1
33,7,Liberty,Paityn Wirth,1,1,0,0,0,0,0,1
34,7,Liberty,Romea Riccardo,0,0,0,1,0,0,0,1
34,7,Liberty,Erin Matson,1,1,0,0,0,0,0,1
35,7,Liberty,Erin Matson,1,1,1,0,0,0,0,1
35,7,Liberty,Ashley Sessa,0,0,0,0,0,1,0,1
35,7,Liberty,Romea Riccardo,0,0,0,0,0,0,0,1
35,7,Liberty,Sietske Bruning,0,1,0,0,0,0,0,1
36,8,Boston College,Ashley Sessa,1,1,0,0,0,1,0,2
36,8,Boston College,Romea Riccardo,0,0,0,0,1,0,0,1
36,8,Boston College,Sietske Bruning,0,0,0,1,0,0,0,1
37,8,Boston College,Ashley Sessa,0,0,0,0,0,1,0,1
37,8,Boston College,Jasmina Smolenaars,1,1,0,0,0,0,0,1
38,8,Boston College,Lisa Slinkert,0,0,0,0,1,1,0,1
38,8,Boston College,Jasmina Smolenaars,0,0,0,1,0,0,0,1
38,8,Boston College,Ryleigh Heck,1,1,0,0,0,0,0,1
39,8,Boston College,Jasmina Smolenaars,0,0,0,0,0,0,0,1
39,8,Boston College,Erin Matson,1,1,0,0,0,0,0,1
39,8,Boston College,Ashley Sessa,0,0,0,0,0,0,0,1
39,8,Boston College,Paityn Wirth,0,0,0,0,0,0,0,1
40,9,UConn,Paityn Wirth,0,0,0,0,0,0,0,1
40,9,UConn,Ashley Sessa,0,0,0,0,0,0,0,1
40,9,UConn,Meredith Sholder,0,0,0,0,0,0,0,1
40,9,UConn,Erin Matson,1,1,0,0,0,0,0,1
41,9,UConn,Paityn Wirth,0,0,0,0,0,0,0,1
41,9,UConn,Erin Matson,1,1,0,0,0,0,0,2
41,9,UConn,Ryleigh Heck,0,1,0,0,0,0,1,1
42,9,UConn,Yasmina Smolenaars,0,0,0,0,0,0,0,1
42,9,UConn,Erin Matson,0,0,0,0,0,0,0,1
42,9,UConn,Ashley Sessa,0,1,0,0,0,0,0,1
42,9,UConn,Ryleigh Heck,1,1,0,0,0,0,0,1
43,10,Syracuse,Ryleigh Heck,0,0,0,0,0,0,0,1
43,10,Syracuse,Erin Matson,0,0,0,0,0,0,1,0
43,10,Syracuse,Paityn Wirth,0,0,0,0,0,0,1,1
43,10,Syracuse,Ashley Sessa,0,0,0,1,0,1,0,1
43,10,Syracuse,Romea Riccardo,0,0,0,1,0,0,0,1
